Institution,tMale,tFemale,Male,Female,Male.1,Female.1,Male.2,Female.2,Male.3,Female.3,Male.4,Female.4,Male.5,Female.5
"Saswat Surayvansi Mahavidyalay, Ghazipur (Id: C-51231)",1,,,,,,1,,,,,,,
"Satara College of Engineering and Management, (Id: C-10991)",15,15,1,2,,,1,,,,,,1,
Satara College of Pharmacy (Id: C-11030),15,19,,2,,,3,4,,,1,,,
SATAVAHANA COLLEGE (Id: C-25281),17,7,3,1,,,2,,,,,,,
"SATAVAHANA DEGREE COLLEGE, HUZURABAD (Id: C-21475)",17,1,,,,,14,1,,,,,,
"SATGURU COLLEGE, LAMBA-KOTRA,  (Id: C-60588)",8,2,3,,,,3,1,,,,,,
"SATGURU DEGREE COLLEGE, DHANIKHERA, (Id: C-12654)",23,11,2,,,,7,,1,,1,,,
"Satguru Shikshan Sansthan Mahila Mahavi., Jhunjhunun (Id: C-38446)",7,1,2,,,,4,,,,,,,
"Satguru Teacher Training College, Lamba Kotra, Nawan (Id: C-54337)",13,4,1,,2,,3,,,,,,,
"SATGURU T.T. COLLEGE ,NARNAUL ROAD SINGHANA (Id: C-60921)",1,,,,,,1,,,,,,,
Sathabdhi Degree College (Id: C-24396),11,6,5,,,,4,3,,,,,,
SATHANGAI ACADEMY (Id: C-36496),1,2,,,,,,,,,,,1,
SATHAVAHANA COLLEGE OF EDUCATION (B.Ed) (Id: C-60597),15,1,2,,,,11,,,,,,,
SATHAVAHANA COLLEGE OF SCIENCE & ARTS (Id: C-24899),13,2,,,,,13,2,,,,,,
"SATHYA COLLEGE OF ARTS AND SCIENCE, KILLVISHRAM (Id: C-47518)",7,5,1,,,,5,4,,,,,,
"Sathyam College of Arts &Science  College, Sundakkapalayam Village,Kariyamangalam Post Chengam Taluk  a Taluk (Id: C-36417)",16,12,2,,,,14,12,,,1,1,,
Sathyasai B.Ed. College (Id: C-14600),3,11,,4,,,3,7,,,,,,6
"Sathyashodak Degree College, Mylaram (V), Sirikonda (M), Nizamabad (5059) (Id: C-53340)",1,,,,,,1,,,,,,,
SATI ANUSAYA MAA ARTS SCIENCE COLLEGE YENGALKHEDA (Id: C-46513),2,,,,,,2,,,,,,,
SATI BHARAT COLLEGE PARARI (Id: C-46315),8,3,,,,,1,,,,2,,,
"Satiram Mahavidyalaya, Aalampatti, Ghazipur (Id: C-55660)",1,,,,,,1,,,,,,,
Satish B. Ed. College (Id: C-42669),6,5,2,1,,,2,1,,,2,,,
"Satish Chandra P. G. College, Ballia (Id: C-13550)",42,6,1,2,,,14,2,,,,,,
Satish Goswami College of Physiotherapy (Id: C-52477),3,10,,2,,,1,3,,,,,,
"SATISH MISAL EDUCATIONAL FOUNDATION'S BRICK SCHOOL OF ARCHITECTURE, PUNE (Id: C-49466)",16,26,,,,,1,3,,,1,,,
"Satish Pradhan Dnyansadhana College, Thane (Arts, Science and Commerce ) Eastern Express Highway,  Dnyansadhana Marg,  Thane (West) ? 400 604. (Id: C-33966)",13,23,3,4,,,,,,,,,,
"SATI, Vidisha (Id: C-35129)",108,33,11,4,1,1,8,5,,,,,13,3
Sat kabir Institute of Technology (Id: C-28207),7,15,,,,,,,,,,,,
"SAT KAIVAL COLLEGE OF PHARMACY, SAARSA 246 (Id: C-60)",5,6,,,,,,,,,1,,,1
SATNA INSTITUTE OF INFORMATION TECHNOLOGY SATNA (Id: C-31320),4,4,,,,,,1,,,,,,
"SATNAMI KANYA VIDYAPETH, RUKANPUR (Id: C-50827)",6,7,1,1,,,,1,,,,,,
SAT PRIYA COLLEGE OF EDUCATION (Id: C-28156),,5,,,,,,,,,,,,
Sat Priya Institute of Engg. & Technology (Id: C-28141),35,43,1,1,,,1,2,,,,,,
Sat Priya Instt. Of Architecture (Id: C-28030),1,4,,,,,,,,,1,,,
SATPUDA COLLEGE (Id: C-47351),11,6,1,,,,4,1,,,,,,
"Satpura Law College, Chhindwara (Id: C-19225)",11,2,1,,,,4,,,,1,,,
"SATPURA VALLEY GROUP OF SCHOOLS, HARDA (Id: C-47457)",4,3,,,,,2,,,,,,,
SATYA COLLEGE OF EDUCATION (Id: C-25357),13,3,2,1,2,,1,1,,,,,,
Satya College of Engineering & Technology (Id: C-28246),39,17,,,,,2,1,4,4,3,0,0,
"SATYA COLLEGE OF NURSING, SISARKHAS (Id: C-50504)",,15,,1,,,,1,,,,,,
"SATYADEV DEGREE COLLEGE, GADHIIPURAM (BORSIYA) FADANPUR  (Id: C-50339)",3,,1,,,,1,,,,,,,
"Satya Institute of Management Studies, Vijayawada Rural, Nugondapalli (V), agiripalli (M),PIN-521211(CC-2A) (Id: C-17966)",29,9,7,2,1,1,21,6,,,,,,
"SATYA INSTITUTE OF MGMT STUDIES 315, PANDAV NAGAR (NEAR SHASRTI NAGAR RLY, CORSSING) GHAZIABAD Ph.No. 0120-3293860, 9810905923 (Id: C-28799)",1,2,,,,,,,,,,,,
SATYA INSTITUTE OF TECHNOLOGY AND MANAGEMENT (Id: C-51716),38,20,6,2,,,12,8,,,1,,1,
"Satyajit B. Ed. College Khandala, Tq. Mehakar. (Id: C-43159)",5,,,,,,4,,,,,,,
"Satyajit College of Science Mehakar, (Id: C-42928)",1,,,,,,,,,,,,,
SATYA KINKAR DEY ACADEMY (Id: C-56715),26,7,4,,,,,,,,2,,,
Satya Krishna Degree College (Id: C-24035),20,1,1,,,,17,1,,,,,,
"SATYAM COLLEGE, BEAWAR (Id: C-55876)",1,4,,,,,,,,,,,,
Satyam College of Education (Id: C-48560),6,7,,2,1,,2,,,,,,,
Satyam College of Education (Id: C-57767),1,9,,,,,,1,,,,,,
Satyam College of Education for Women (Id: C-10861),2,8,1,,,,,,,,,,,
"Satyam College of Education, Ghall Kalan (Id: C-29323)",8,9,1,,,,,,,,,,1,8
"Satyam College of Education, Kodumur (Id: C-26322)",13,4,3,1,,,6,1,,,,,1,
Satyam College of Engineering and Technology (Id: C-27096),36,33,,,,,36,33,,,1,2,11,12
"SATYAM COLLEGE OF NURSING LANJOT,KANGRA (Id: C-54948)",1,17,,1,,2,1,5,,,1,,,
"Satyam College of Nursing, Rajahmundry (Id: C-30639)",,36,,24,,,,3,,,,,,16
SATYAM COLLEGE OF TECHNICAL EDUCATION BALLARI (Id: C-60481),5,1,3,,,,2,1,,,1,,,
"SATYAM COMPUTER EDUCATION KAMADHENU BCA COLLEGE, KARWAR (Id: C-46634)",2,,,,,,2,,,,,,,
Satyam Fashion Institue (Id: C-44166),2,8,1,,,,,3,,,,,,
SATYAM INSTITUTE OF ENGINEERING AND TECHNOLOGY (Id: C-52362),28,31,1,4,,,,,,,2,,11,21
SATYAM INSTITUTE OF MANAGEMENT (Id: C-54503),9,18,,,,,,,,,,,4,9
"satyam Institute of Management and Technology, Nakodar (Id: C-10330)",7,13,1,2,,,2,1,,,1,,2,5
Satyam International Institute Of Higher Studies (Id: C-59169),13,3,,,,,4,,,,2,,,
SATYAM SHIVAM SHUBHAM D/C TIKARI (Id: C-48881),21,3,,,,,2,,,,,,,
"SATYA NARAIAN MAHAVIDYALAYA, JALALPUR (Id: C-50067)",10,2,,1,,,3,1,,,,,,
"SATYA NARAIN MAHAVIDYALAYA, BHADAUSI, PRATAPGARH (Id: C-42339)",3,2,1,,,,,,,,,,,
"Satya Narayan Agarwal Government Arts. and Commerce College, Kohka-Neora (Id: C-21838)",6,9,1,3,,1,1,1,,,1,,1,
"Satyanarayan Degree College, Bharauli Baradihadal, Deoria (Id: C-14195)",2,,,,,,,,,,,,,
"SATYANARAYAN  GUPTA MADHURI  DEVI MAHAVIDYALAYA , BANKI , DEORIA (Id: C-49427)",8,2,3,,,,1,1,,,,,,
"Satyanarayan Sanskrit Adarsh Mahavidyalaya, Barari Baitalpur (Id: C-20013)",3,1,,,,,,,,,,,,
Satya Narayan Singh Mahavidyalay (Id: C-57890),5,2,1,,,,2,1,,,,,,
"Satya Niketan Sansthas Adv. Manoharrao Nanaheb Deshmukh Arts,Science & Commerce College, Rajur Tal.Akole, Dist.Ahmednagar  422604 (Id: C-41275)",35,2,7,1,3,,7,,,,,,1,
Satyapriya Roy College of Education (Id: C-43366),5,4,1,,,,1,,,,,,,
Satya Rama Degree College (Id: C-24295),16,2,,1,,,14,1,,,,,,
"Satya Sadhna Mahavidhyalaya, Todabhim, Karauli (Id: C-19487)",5,,,,2,,,,,,,,,
"Satyasai College for Women's, BBSR, Khurda (Id: C-39646)",1,31,,,,,,,,,,,,
"Satya Sai College of Education, Budhuda, Balaghat (Id: C-33393)",9,7,,,,,4,4,,,2,,,
"Satyasai Engineering College (SEC), Balasore (Id: C-30161)",26,13,,,,,14,8,,,,,,
"SATYA SAI MAHAVIDHYALAYA,GANGAULI,UCHAHAR (Id: C-48959)",4,1,,,,,2,1,,,,,,
Satyawati College (Id: C-6416),30,43,3,6,2,2,7,5,1,,5,1,1,1
Satyawati College (Evening) (Id: C-22468),37,44,6,5,2,1,8,8,2,,1,1,1,3
SATYAWATI GAYAPRASAD MAHILA MAHAVIDYALAYA VAIVAHA (Id: C-55964),11,1,1,,,,6,,,,,,,
"SATYAWATI PATEL MAHAVIDYALAYA, MAMRI, LAKHIMPUR (Id: C-54296)",9,7,,1,,,4,4,,,,,,
"Satyendra Bahadur Sanskrit Mahavidyalaya, Kharagsenpur, Thanagaddi (Id: C-20135)",4,5,1,,,,,1,,,,,,
SATYENDRA CHANDRA GURIA LAW COLLEGE (Id: C-53626),11,3,2,,,,1,0,,,,0,,
SATYUG DARSHAN INSTITUTE OF EDUCATION AND RESEARCH FOR GIRLS (Id: C-28375),3,7,,,,,,,,,,1,,
SATYUG DARSHAN INSTITUTE OF ENGINEERING AND TECHNOLOGY (Id: C-48182),22,19,1,,,,1,,1,,,,,2
"Saubhagyavati Bai Dani Mahila Mahavidyalaya, Dhampur (Id: C-13461)",6,34,2,2,,,1,8,,,,3,,1
"SAUDAN SINGH INSTITUTE OF HIGER EDUCATION NAGLA RAMBAL KALENDI VIHAR, AGRA (Id: C-15199)",4,1,,,,,3,1,,,,,,
"SAU LEENA KISHOR MAMIDWAR INSTITUTE OF MANANAGEMENT STUDIES AND RESEARCH, KOSARA (Id: C-50514)",12,12,3,3,,,3,3,,,2,,1,
"Sau. Mangaltai Ramchandra Jagtap Mahila Mahavidyalaya, UMBARJ (Id: C-11227)",10,4,3,0,,1,2,,,,1,,,
"Saupura College of Information and Bio-Technology, Sausar (Pipla) (Id: C-19190)",11,5,2,1,,,8,4,,,1,,1,1
SAURABH LAW COLLEGE - VISANVEL  (Id: C-56504),6,,,,,,6,,,,,,,
Sausar Girls College Of Science And Technology (Id: C-57169),12,2,2,,,,7,2,,,3,,,
"Sau.Shantadevi Vedprakash Patil Ayurved College And Research Institute, Hatta (Id: C-57757)",22,15,,,,,,,,,1,1,,
"Sau Sujata Motghare Mahila Mahavidyalaya, Umred (Id: C-54368)",2,13,,1,,,,,1,,,,,
SAU SUJATA MOTGHARE WOMEN COLLEGE DESAIGANJ (Id: C-46514),6,3,3,1,,,2,2,,,,,3,1
SAUTASHTRA EDUCATION TRUST MAHILA ARTS COMM. (B.B.A.) & B.C.A. COLLEGE-JUNAGADH (Id: C-902),5,16,,1,,,3,6,,,,,,
"Sau.Vaidhe Vishnu Saraf Mahavidyalaya, 3rd Fiore, Harsh Maharashtrz Sankul, Civil Line, Akola. (Id: C-42888)",3,7,,,,,1,2,,,,,,
S A V ACHARYA INSTITUTE OF MANAGEMENT STUDIES (Id: C-50661),10,15,,1,,,1,,,,1,,1,2
"SAVE College of Nursing, Tirupati (Id: C-30571)",1,7,,2,,,,2,,,,,,
Saveetha College of Nursing (Id: C-16283),6,52,,5,,,5,25,,,,,3,12
Saveetha College of Physiotheraphy (Id: C-16286),10,7,2,2,,,7,3,,,,,3,1
Saveetha Dental College (Id: C-16285),89,97,1,1,,,72,82,,,6,3,11,5
Saveetha Engineering College (Id: C-16590),181,176,19,17,,,133,131,,,2,4,27,34
Saveetha Medical College (Id: C-16281),195,108,4,3,1,,141,71,,,7,3,4,7
Saveetha School of Engineering (Id: C-16287),166,144,6,8,,,145,123,,,5,3,18,24
Saveetha School of Law (Id: C-16282),41,40,6,5,,1,27,24,,,,1,3,3
Saveetha School of Management (Id: C-16284),23,11,1,,,,18,10,,,,,3,4
"Saviour College, E-9 Arera Colony, Pallavi Nagar Near Dana Resturent, Bhopal (Id: C-35138)",2,5,1,,,,1,2,,,,,,
Savita Devi Girls College (Id: C-57566),,2,,,,,,,,,,,,
"Savita Devi Jaiswal College, Samgarh (Id: C-31707)",12,8,2,,,,6,4,,,,2,,1
"SAVITA DEVI MAHAVIDYALA   DELHI-MEERUT ROAD, MOHIUDDINPUR MEERUT, Ph. 9412830843, 9412708099 (Id: C-28795)",2,5,,,,,2,4,,,,,,
"SAVITHRIBAI PULE MULTIPURPOSE WOMENS WELFARE SOCIETY GURUBASAVA ARTS COLLEGE, ATHARGA, INDI (Id: C-49645)",6,1,,,,,,1,,,,,,
"Savitribai Fule Education Mahavidyalaya, Akot. (Id: C-43075)",2,8,,1,,,1,2,,,,,,
SAVITRIBAI FULE MAHILA MAHAVIDYALAYA  (Id: C-56024),2,9,,,,,1,3,,,,,,
"Savitribaifule Rajkiya P.G. College, Chakiya, Chandauli (Id: C-13566)",8,3,1,,1,,6,1,,,,,,
"Savitribai Fule Vidyan Mahavidyalaya, Shindkhed Raja. (Id: C-43091)",1,1,,,,,,,,,,,,
"Savitri Bai Phoole Mahila Mahavi., Sikar (Id: C-38311)",4,12,,,,,3,10,,,,1,,
"Savitribai Phule BCA College, Vasmat (Id: C-7469)",2,2,2,1,,,,,,,,,2,1
"Savitri Bai Phule Mahavidyalaya, Jaipur (Id: C-38372)",9,2,,,1,,4,,,,1,,,
"Savitribai Phule Mahila  adhyapak Mahavidyalaya, Vasarni, Nanded (Id: C-7363)",1,5,,4,,,,,,,,,1,5
Savitribai Phule Mahila Mahavidyalaya (Id: C-11187),13,10,2,,,,5,2,,,,0,2,
"Savitri Bai Phule Mahila Shikshak Prashikahn Mahavi., Sikar (Id: C-38758)",3,10,,1,,,2,4,,,,,,
"Savitribai Phule Mahila Shikshan Prasarak Mandal's Gurukul College of Computer Science Gurukul Nagar, Beed. (Id: C-34384)",3,,2,,,,,,,,,,2,
"Savitribai Phule Mahila Shikshan Prasarak Mandal's Gurukul College of Education, Gurukul Nagar, Beed. (Id: C-34472)",4,5,,1,,,2,1,,,,,,
"Savitribai Phule Mahila Shikshanshastra Mahavidyalaya, PETH-VADGAON (Id: C-11123)",,0,,,,,,0,,,,,,
"Savitri Bai Phule Shikshak Prashikshan Mahila Mahavi., Jaipur (Id: C-38524)",7,9,1,1,,1,4,3,,,,,,
"Savitribai Phule Women College, Washim. (Id: C-42972)",6,1,1,,,,,,,,,,1,
"Savitribai Phule Women's College, Pavni (Id: C-18499)",1,2,,,,,1,2,,,,,,
"Savitri Devi Mahavidyalaya, Fattupur Kalan M. Badshahpur Jaunpur (Id: C-51477)",2,,,,,,,,,,,,,
Savitri Devi Mahila Mahavidyalay (Id: C-59074),4,,,,,,,,,,,,,
SAVITRI DEVI MAHILA MAHAVIDYALAYA (Id: C-60327),12,10,1,,,,2,1,,,,,,
Savitri Devi Memorial College of Education (Id: C-10755),4,2,,1,,,1,,,,,,,
"Savitri Devi Memorial College of Pharmacy, Pundri road Rajound (Id: C-30739)",10,8,1,,,,1,2,,,,,,
Savitri Girls' College (Id: C-11975),11,25,3,3,,,,2,,1,,2,,
"Savitri Jyotirao, Social Work College, Yavatmal. (Id: C-42829)",6,1,1,,,,3,,,,,,,
"SAVITRI MAHAVIDYALAYA, TAKPURA, FAIZABAD (Id: C-42492)",9,5,3,,,,2,1,,,,,,
"Savitri Mahila Mahavidyalay, Barahpur, Nandganj, Ghazipur (Id: C-60899)",1,,,,,,,,,,,,,
"SAVITRI SHRI NATH MAHAVIDYALAYA, RASHULPUR, BAKARGUNJ (Id: C-52955)",3,5,1,,,,1,2,1,,,1,,
SAVITRI SINGH ADYA PRASAD MAHAVIDYALAYA SARAIYA AYODHYA (Id: C-61137),5,4,,,,,3,3,,,,,,
"Savitri Singh Mahila Mahavidyalaya, Nanijoor, Azamgarh (Id: C-55104)",1,,,,,,1,,,,,,,
SAV & NVJR DEGREE COLLEGE (Id: C-25356),9,1,,,,,,,,,,,,
"S.A.V.T Govt. First Grade college, Kudligi - 583 135, (Id: C-8598)",9,2,2,1,3,,3,1,,,2,,,
SAWAMI VIVEKANAND COLLEGE KOTA (Id: C-58199),3,7,1,,,,,,,,,,1,
"Sawkar Homoeopathic Medical College, Satara 415004 (Id: C-13815)",22,19,1,1,,,,,,,1,1,,1
"Saw.Padmadevi Ramprasadji Somani BCA College, Yeldarkar Colony, Parbhani (Id: C-7488)",2,,,,,,,,1,,,,,
SAYALA COLLEGE SAYALA (Id: C-51702),14,2,3,,1,,8,1,,,,,,
"Sayali Charitable Trust, College of Homoeopathy (Id: C-58639)",12,21,,,,,,,,,1,2,,
SAYED MOHAMMAD ISHTIYAK MAHILA MAHAVIDYALAYA NAWABGANJ GONDA (Id: C-52711),5,1,,,,,3,1,,,,,,
SAYEED MOHAMMAD ISHTIYAAK MAHAVIDYALAYA KALYANPUR NAWABGANJ GONDA (Id: C-57910),1,1,1,,,,,1,,,,,,
"Sayna Sangeet Mahavidyalaya, Katni - 483 501 (Id: C-33084)",4,3,2,,,,1,1,,,,,,
Sayyid  Akbar Husayni College of Education (B.Ed) (Id: C-56643),,8,,,,,,8,,,,8,,
Sazolie College (Id: C-16680),8,13,,,7,13,1,,,,,,8,13
"SAZOLIE COLLEGE OF TEACHERS EDUCATION, KOHIMA (Id: C-47453)",4,4,,1,4,3,,,,,,,4,3
S. Balraj Singh Bhundarh Memorial university College Sadulgarh (Id: C-22286),12,7,2,,,,2,,,,,,6,6
"S.B.A.N. College, Darheta Lari (Id: C-12861)",32,1,,,,,1,,,,1,,,
"S B  ARTS AND KCP SCI COLLEGE, BIJAPUR (Id: C-9954)",40,28,4,3,,,15,12,0,,1,0,1,1
"S.B. Arts Commerce College, Aheri (Id: C-18970)",9,3,5,2,,,3,1,,,,,5,2
"S.B.C. First Grade College, Davangere (Id: C-26532)",18,13,1,,1,,8,4,,,1,,,
"S.B. College, Ara (Id: C-27161)",17,9,,1,,,4,2,,,1,,,
"S.B. COLLEGE, CHANDIL (Id: C-43555)",12,3,1,,2,,5,1,,,,,1,
"S.B. College, Changanacherry-686 101 (Id: C-11831)",114,42,,,,,,,,,,1,111,33
S B COLLEGE OF HOSPITAL ADMINISTRATION (Id: C-56737),2,5,,,,,,,,,,,,1
"S.B. College of Management Studies, No.293, Chikkabommasandra Cross, 1st A Main Road, Yelahanka New Town, Bangalore -64. (Id: C-21151)",11,22,,,,,1,3,,,5,1,1,1
S B College of Nursing (Id: C-40348),3,19,,,,,,,,,,,1,11
"S B DEGREE COLLEGE,G T ROAD (Id: C-54305)",11,2,,1,,,5,1,,,4,1,,
S.B. Deorah College (Id: C-17177),10,35,0,1,,2,2,3,,,2,,,
"S. B. D. Govt. College, Sardarshahar (Id: C-40650)",9,6,2,,2,,3,1,,,,1,,1
S.B.D.Mahila Degree Mahavidyalaya (Id: C-56867),2,4,,,,,,,,,,,,
SBDS College of Veterinary and Animal Sciences (Id: C-60951),7,,1,,,,3,,,,,,1,
SBDSM Khalsa College Domeli (Kapurthala) (Id: C-27994),7,12,2,4,,,1,3,,,,,4,11
"S. B. Garda Arts College & P. K. Patel College of Commerce, Navsari (Id: C-484)",24,13,2,1,7,1,6,2,,,1,1,,2
"S B GARDI BED COLLEGE, DHROL (Id: C-50735)",5,2,,,,,4,1,,,,,,
"S.B.G. Degree College, Sattenapalli (Id: C-40606)",16,10,,,,,,,,,,,,
S.B.G.N.M Degree College (Id: C-24401),15,9,1,,,,4,2,,,,,,
"SBGR Degree College, Pakala Rural (Id: C-27825)",5,7,2,1,,,1,4,,,,1,,
"Sbhobhadevi Mahila Sevabhavi Sansth s Rajmata Jijau Arts and Science College, Madalmohi, Georai. (Id: C-58062)",1,,,,,,,,,,,,,
SBIHM School Of Management 341 (Id: C-48480),8,3,,,,,,,,,,,1,
"SB Jain Institute of Technology Management and Research, Yerla (Id: C-18645)",84,24,8,4,,1,31,6,,,9,1,3,1
"S.B.J COLLEGE,BISAWAR,MATHURA (Id: C-15433)",4,,,,,,4,,,,,,,
S.B.K. COLLEGE (Id: C-36553),38,51,4,3,,,34,48,,,,,1,6
"S.B.K. Government College, Jaiselmer (Id: C-13185)",14,1,6,,2,,3,1,,,1,,,
"S.B.Khade Mahavidyalaya, KOPARDE (Id: C-11048)",26,5,5,3,,,4,,,,,,,
"S.B.K.P.Law College, Raigarh (Id: C-22397)",7,,1,,1,,,,,,,,1,
"S B K R GOVERNMENT DEGREE COLLEGE, CHURIYALA (Id: C-56724)",11,1,3,,,,4,,,,2,,,
"SBM College of Engineering and Technology, Dindigul (Id: C-26796)",116,24,3,,,,,,,,4,,3,
S.B.M.S. College (Id: C-17350),34,16,3,,1,1,1,2,,,,,,1
"S B M TEACHERs TRAINING COLLEGE, MASIPIRI (Id: C-48603)",12,4,,1,,,7,2,,,,,1,
S B N College of Education (Id: C-53582),8,11,1,,1,,5,4,,,,,,
"SBN Degree College, Sidhmukh (Id: C-40646)",11,5,1,,,,5,4,,,,,,
"S B N Mahavi., Sikar (Id: C-38897)",20,9,4,,,,13,8,,,1,,,
S.B.N. MEMORIAL COLLEGE (Id: C-55845),6,3,,,,,5,,,,,,,
S. B. PANDEY SANATHAN TEACHERS' TRAINING COLLEGE (Id: C-49204),13,2,1,,,,3,1,,,,,,
S B Patil Institute of Dental Sciences & Research (Id: C-40600),24,26,,1,,,1,,,,4,11,,
S.B.(PG) College (Id: C-58859),5,14,,,,,,,,,,,,3
"S.B.P. Mahavidyalaya, Samantiapalli (Id: C-39403)",11,11,,,1,,3,,,,,,,
"S.B. Polytechnic, Savli, Vadodara 666 (Id: C-77)",44,22,1,,,3,17,2,,,2,1,1,
"SBRG (Autonomous) Women's College, Berhampur (Id: C-39361)",11,11,,0,,,2,0,,,,,,
"SBRR Mahajana  First Grade College, Jayalakshmipuram (Id: C-17548)",68,102,9,11,,1,29,34,,1,,2,4,4
"S.B.R.R. Mahajan Law College, Mysore (Id: C-9815)",4,2,1,,1,,,,,,,,,
SBRS COLLEEGE ADOKHAR (Id: C-34919),11,1,,,,,1,1,,,,,,
"SBRS College for Women, Sadik, Faridkot (Id: C-22211)",,23,,1,,,,2,,,,,,22
"S. B. S. COLLEGE, JABRA MANT (Id: C-56958)",3,2,,,,,3,2,,,,,,
"SBS College of Nursing,  Village Sodewala,  Malanwala Road, Distt.  Ferozepur (Id: C-29164)",1,23,,1,,,,,,,,,,21
S B S COLLEGE PAHARSAR NADBAI BHARATPUR  (RAJ) (Id: C-60490),10,,2,,,,3,,,,,,,
"S.B.S.  College, Raisinghnagar (Id: C-40768)",8,4,4,,,,2,3,,,,,1,
"SBS COLLEGE, TALEN (Id: C-48755)",10,1,,,1,,5,1,,,,,,
S B S DEGREE COLLEGE (Id: C-58204),9,2,,,,,8,2,,,,,,
"S.B.S. GOVERNMENT COLLEGE, HILI (Id: C-52911)",6,1,5,,0,,1,,,,1,,0,
S B Shirkoli Homoeopathic Medical College (Id: C-40116),22,8,1,,,,11,5,,,1,,,
"SBS Institute of Nursing,  Village Sohian Kalan,  Tehsil Majitha, Fatehgarh  Churian Road, Distt.  Amritsar (Id: C-29166)",,25,,1,,,,4,,,,,,21
"SBS Memorial TT College, Sikar (Id: C-38454)",10,6,,,,,5,4,,,,,,
SBSS College (Id: C-8720),5,2,,,,,,,,,,,,
"SBSSPSJ COLLEGE, GODDA (Id: C-45384)",37,6,1,,1,1,24,4,,,3,,,
SBSYM Degree College (Id: C-30289),11,4,1,1,,1,4,2,,,,,,
"SBSYM Degree College, (Id: C-26313)",24,5,4,1,,1,7,1,,,1,,,
"S.B.S.Y.M.  DEGREE COLLEGE, PALASA (Id: C-24907)",3,3,,2,,1,3,,,1,,,,
"SBT  College, Bilaspur (Id: C-22317)",16,16,3,,,,3,5,,,,,,
SBVR Agriculture College (Id: C-57049),11,5,,2,1,,5,2,,,,,,
"SBVR College of Education, Badvel (Id: C-30275)",15,3,1,,,,8,2,,,,,,
"S.B.V.S.R College of Education, Cheemakurthi (Id: C-42742)",16,,3,,1,,7,,,,,,,
"S.B.Women's (Auto.)College,Cuttack (W) (Id: C-39809)",29,66,2,2,,1,8,3,,1,,2,,
SCAD college of Education (Id: C-14589),7,9,1,1,,,6,7,1,,,,6,3
SCAD College of Engineering and Technology (Id: C-27048),88,52,6,6,,,72,43,1,,3,1,29,25
SCAD INSTITUTE OF TECHNOLOGY (Id: C-48261),51,23,3,1,,,46,22,,,5,,5,
S. C. A. Patel Arts College (Id: C-5801),9,,1,,,,2,,,,1,,,
"Scared Heart Education Society, Gutkar, Teh. Sadar, C/O Laljee B.Ed Colalge Distt Mandi (Id: C-11536)",3,7,1,1,,,,,,,,,,
"S.C.B. Degree College, Ragdha (Id: C-10897)",5,6,,,,,3,4,,,,,,
"SCB Dental College & Hospital, Cuttack (Id: C-39676)",23,22,,1,,,,,,,1,,,
"S.C. BOSE MAHAVIDYALAYA, KAHALI TERWA, GAUSGANJ, (Id: C-12461)",40,11,1,,,,14,,,,1,3,,
"S.C. BOSE VIDHI MAHAVIDYALAYA, KAHLI TERWA, GAUSGANJ, (Id: C-12410)",7,,2,,,,2,,,,,,,
S.C. College (Id: C-21335),24,7,1,,,,,1,1,,,,,
S.C.Degree College (Id: C-40960),4,1,,,1,,1,,,,,,,1
SC Dey College (Id: C-26424),13,12,1,,,,3,7,,,2,1,,
"S.C.D.Govt College, Ludhiana (Id: C-29293)",53,84,13,7,,,7,7,,1,,,27,36
S.Chaavan College of pharmacy (Id: C-26934),29,19,1,,,,22,18,,,,,1,
"S.Chaavan Institute of Computer Applications, Muthukur (Id: C-24810)",40,11,9,2,,,13,4,,,3,1,1,
S Chandra Mahila Mahavidyalay Amgaon (Id: C-60463),2,3,2,1,,,,2,,,,,2,1
"S Chandra Mahila Mahavidyalay, Sakoli (Id: C-60464)",1,4,1,2,,,,2,,,,,1,2
S CHANDRA WOMEN COLLEGE ASHTI (Id: C-46510),1,1,1,1,,,,,,,,,1,1
"S Chandra Women's College, Arjuni (Id: C-18296)",3,3,3,2,,,,1,,,,,3,2
"S Chavhan Women's College, Amgaon (Id: C-18690)",2,,,,,,1,,,,,,,
"SCHIEFFELIN INSTITUTE OF HEALTH - RESEARCH LEPROSY CENTRE (Inst. Code - 442), KARIGIRI (Id: C-45633)",22,16,1,1,,,21,15,,,,,17,14
"SCHOLAR ARENA GIRLS B.ED. COLLEGE, 29-NEW SWAMI NAGAR, TEKRI-MADRI LINK ROAD (Id: C-39915)",3,11,,1,,,,,,,,,2,3
Scholar B.Ed College (Id: C-51575),11,4,1,,,,5,,,,,,,
Scholars College of Education (Id: C-59467),8,30,,,,,,,,,,1,,
Scholars Degree College (Id: C-25972),6,3,,,,,,1,,,,,,
"Scholars Degree College, Wanaparthy (Id: C-21973)",10,4,2,,,,8,4,,,1,1,,
Scholar's Institute of Technology (Id: C-17231),70,33,2,,4,1,14,6,,,10,3,,2
"Scholors College of Education, Wanaparthy (Id: C-22017)",8,1,1,,,,5,1,,,,1,,
"SCHOOL OF AERONAUTICS (NEEMRANA), ALWAR (Id: C-47690)",39,11,,,,,,,,,1,,,1
"School of Allied Health Sciences, Manipal (Id: C-7255)",67,95,1,2,1,2,16,27,,,2,1,8,26
"SCHOOL OF ARCH. APEX GROUP OF INSTITUTIONS, JAIPUR (Id: C-47694)",9,3,,,,,1,,,,,,,
School of Architecture  (Id: C-47883),27,17,,,,,,,,,,,,
